Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?f  country  ?b  ?a  locationCity  ?f   ,?a  foundationPlace  ?b,0.098382749,0.080931264,0.480263158,73,902,152,?a,0.503448275862069,0.0,1.0,0.0,73,0,145,0
?b  president  ?a  ?a  successor  ?b   ,?a  deputy  ?b,0.028037383,0.045627376,0.48,12,263,25,?b,0.6,0.6666666666666666,0.5,0.5,6,6,10,9
?b  isPartOf  ?a   ,?a  countySeat  ?b,0.894108874,0.050740584,0.479791917,1199,23630,2499,?b,0.9705882352941176,0.0,1.0,0.0,1188,0,1224,0
?e  composer  ?b  ?e  subsequentWork  ?a   ,?a  composer  ?b,0.046587927,0.314159292,0.47972973,71,226,148,?a,0.6067415730337079,0.0,1.0,0.0,54,0,89,0
?f  isPartOf  ?b  ?a  part  ?f   ,?a  isPartOf  ?b,0.019085908,0.424270931,0.479277365,451,1063,941,?a,0.9933110367892977,0.8795180722891566,0.6704288939051919,0.3295711060948081,297,146,299,166
?e  locationCountry  ?b  ?e  owner  ?a   ,?a  locationCountry  ?b,0.013905683,0.160839161,0.479166667,23,143,48,?a,0.71875,0.0,1.0,0.0,23,0,32,0
?f  country  ?b  ?a  successor  ?f   ,?a  nationality  ?b,0.01489573,0.063469676,0.478723404,45,709,94,?a,0.6774193548387096,0.2,0.9333333333333333,0.06666666666666667,42,3,62,15
?a  residence  ?b   ,?a  deathPlace  ?b,0.023751956,0.112571621,0.477825465,334,2967,699,?a,0.5949367088607594,0.65625,0.3900414937759336,0.6099585062240664,94,147,158,224
?b  followingEvent  ?f  ?a  previousEvent  ?f   ,?a  previousEvent  ?b,0.310679612,0.47761194,0.47761194,32,67,67,?a,0.9166666666666666,0.0,1.0,0.0,11,0,12,0
?f  isPartOf  ?b  ?a  largestCity  ?f   ,?a  state  ?b,0.338487489,0.432626662,0.476831683,1204,2783,2525,?a,0.9983416252072969,0.0,1.0,0.0,1204,0,1206,0
?f  isPartOf  ?b  ?a  routeJunction  ?f   ,?a  routeEnd  ?b,0.052083333,0.022779043,0.476190476,10,439,21,?b,0.20408163265306123,0.0,1.0,0.0,10,0,49,0
?f  deathPlace  ?b  ?a  parent  ?f   ,?a  residence  ?b,0.010111223,0.049180328,0.476190476,30,610,63,?a,0.6666666666666666,0.6153846153846154,0.5555555555555556,0.4444444444444444,10,8,15,13
?e  owner  ?b  ?e  subsidiary  ?a   ,?a  owner  ?b,0.025083612,0.20979021,0.476190476,30,143,63,?a,0.6304347826086957,0.0,1.0,0.0,29,0,46,0
?e  owningCompany  ?b  ?e  subsidiary  ?a   ,?a  owner  ?b,0.025083612,0.20979021,0.476190476,30,143,63,?a,0.6304347826086957,0.0,1.0,0.0,29,0,46,0
?e  residence  ?b  ?e  successor  ?a   ,?a  residence  ?b,0.039770812,0.174556213,0.475806452,118,676,248,?a,0.8307692307692308,0.6666666666666666,0.627906976744186,0.37209302325581395,54,32,65,48
?f  country  ?b  ?a  position  ?f   ,?a  ground  ?b,0.079650316,0.294699012,0.475362319,328,1113,690,?a,0.4760522496371553,0.0,1.0,0.0,328,0,689,0
?b  musicSubgenre  ?a   ,?a  stylisticOrigin  ?b,0.089188052,0.433537832,0.475336323,212,489,446,?a,0.6201298701298701,0.0,1.0,0.0,191,0,308,0
?e  broadcastNetwork  ?b  ?a  sisterStation  ?e   ,?a  sisterStation  ?b,0.040530932,0.157024793,0.475,171,1089,360,?b,0.16831683168316833,0.0,1.0,0.0,68,0,404,0
?e  format  ?b  ?e  related  ?a   ,?a  format  ?b,0.04773358,0.327827192,0.474264706,258,787,544,?a,0.7531914893617021,0.0,1.0,0.0,177,0,235,0
?a  deathPlace  ?b   ,?a  residence  ?b,0.112571621,0.023751956,0.473758865,334,14062,705,?a,0.5949367088607594,0.65625,0.3900414937759336,0.6099585062240664,94,147,158,224
?a  deathPlace  ?b  ?a  residence  ?b   ,?a  restingPlace  ?b,0.019258203,0.080838323,0.473684211,27,334,57,?a,0.875,0.6206896551724138,0.28,0.72,7,18,8,29
?a  child  ?f  ?b  relation  ?f   ,?a  relation  ?b,0.071146245,0.315789474,0.473684211,18,57,38,?b,0.75,0.8,0.42857142857142855,0.5714285714285714,3,4,4,5
?a  notableWork  ?f  ?f  related  ?b   ,?a  notableWork  ?b,0.053571429,0.225,0.473684211,9,40,19,?b,0.2222222222222222,0.25,0.4,0.6,2,3,9,12
?b  language  ?a   ,?a  spokenIn  ?b,0.166866747,0.032659774,0.472789116,139,4256,294,?b,1.0,0.453125,0.42,0.58,42,58,42,128
?e  distributor  ?b  ?e  previousWork  ?a   ,?a  company  ?b,0.04619226,0.376271186,0.472340426,111,295,235,?a,0.5842105263157895,0.0,1.0,0.0,111,0,190,0
?b  influenced  ?a   ,?a  influencedBy  ?b,0.239276703,0.413667757,0.472003318,1138,2751,2411,?b,0.8601398601398601,0.8402203856749312,0.44646098003629764,0.5535390199637024,246,305,286,363
?a  city  ?f  ?f  isPartOf  ?b   ,?a  district  ?b,0.039239001,0.008044856,0.471428571,33,4102,70,?a,0.8125,0.0,1.0,0.0,26,0,32,0
?f  residence  ?b  ?a  successor  ?f   ,?a  residence  ?b,0.03875969,0.174772036,0.471311475,115,658,244,?a,0.8181818181818182,0.6666666666666666,0.6428571428571429,0.35714285714285715,54,30,66,45
?f  company  ?b  ?a  subsequentWork  ?f   ,?a  distributor  ?b,0.04932344,0.345565749,0.470833333,113,327,240,?a,0.5916230366492147,0.0,1.0,0.0,113,0,191,0
?b  director  ?a  ?b  producer  ?a   ,?a  knownFor  ?b,0.01236476,0.031007752,0.470588235,8,258,17,?b,0.6,0.8333333333333334,0.375,0.625,3,5,5,6
?a  portrayer  ?f  ?b  starring  ?f   ,?a  portrayer  ?b,0.020833333,0.009433962,0.470588235,8,848,17,?b,0.07058823529411765,0.0,1.0,0.0,6,0,85,0
?f  country  ?b  ?a  league  ?f   ,?a  ground  ?b,0.129917436,0.280839895,0.4705365,535,1905,1137,?a,0.4709507042253521,0.0,1.0,0.0,535,0,1136,0
?f  governmentType  ?b  ?a  isPartOf  ?f   ,?a  governmentType  ?b,0.021364576,0.04505814,0.46969697,31,688,66,?a,0.3333333333333333,0.5510204081632653,0.12903225806451613,0.8709677419354839,4,27,12,49
?e  network  ?b  ?e  related  ?a   ,?a  network  ?b,0.084830339,0.333333333,0.46961326,170,510,362,?a,0.6936936936936937,0.0,1.0,0.0,154,0,222,0
?b  product  ?f  ?f  sisterStation  ?a   ,?a  owningCompany  ?b,0.016312057,0.433962264,0.469387755,23,53,49,?a,0.6571428571428571,0.0,1.0,0.0,23,0,35,0
?e  country  ?b  ?e  predecessor  ?a   ,?a  nationality  ?b,0.012578616,0.061688312,0.469135802,38,616,81,?a,0.66,0.25,0.868421052631579,0.13157894736842105,33,5,50,20
?e  owner  ?b  ?e  parentCompany  ?a   ,?a  parentCompany  ?b,0.028614458,0.22754491,0.469135802,38,167,81,?a,0.75,0.0,1.0,0.0,36,0,48,0
?e  owningCompany  ?b  ?e  parentCompany  ?a   ,?a  parentCompany  ?b,0.028614458,0.22754491,0.469135802,38,167,81,?a,0.75,0.0,1.0,0.0,36,0,48,0
?a  routeEnd  ?b   ,?a  routeJunction  ?b,0.038659794,0.15625,0.46875,30,192,64,?b,0.2727272727272727,0.0,1.0,0.0,27,0,99,0
?b  previousWork  ?f  ?a  related  ?f   ,?a  related  ?b,0.021141649,0.254237288,0.46875,30,118,64,?b,0.23595505617977527,0.0,1.0,0.0,21,0,89,0
?a  knownFor  ?f  ?b  related  ?f   ,?a  knownFor  ?b,0.023183926,0.138888889,0.46875,15,108,32,?b,0.17857142857142858,0.08,0.7142857142857143,0.2857142857142857,5,2,28,25
?f  restingPlace  ?b  ?a  successor  ?f   ,?a  restingPlace  ?b,0.068473609,0.218181818,0.468292683,96,440,205,?a,0.45454545454545453,0.6075949367088608,0.3424657534246575,0.6575342465753424,25,48,55,79
?b  child  ?f  ?a  spouse  ?f   ,?a  relative  ?b,0.021589794,0.167938931,0.468085106,22,131,47,?b,0.75,0.5555555555555556,0.6428571428571429,0.35714285714285715,9,5,12,9
?f  relative  ?a  ?b  spouse  ?f   ,?a  relative  ?b,0.050049068,0.232876712,0.467889908,51,219,109,?b,0.4883720930232558,0.28,0.6,0.4,21,14,43,50
?f  format  ?b  ?a  related  ?f   ,?a  format  ?b,0.049583719,0.339240506,0.467713787,268,790,573,?a,0.7717842323651453,0.0,1.0,0.0,186,0,241,0
?a  child  ?f  ?f  parent  ?b   ,?a  spouse  ?b,0.046587216,0.223376623,0.467391304,86,385,184,?b,0.8809523809523809,0.7833333333333333,0.44047619047619047,0.5595238095238095,37,47,42,60
?f  otherParty  ?b  ?a  successor  ?f   ,?a  otherParty  ?b,0.156164384,0.136038186,0.467213115,57,419,122,?a,0.7272727272727273,0.4864864864864865,0.64,0.36,32,18,44,37
?f  party  ?b  ?a  predecessor  ?f   ,?a  party  ?b,0.344967727,0.430746269,0.466990291,1443,3350,3090,?a,0.7214076246334311,0.7257785467128027,0.36964688204357626,0.6303531179564238,492,839,682,1156
?e  birthPlace  ?a  ?e  nationality  ?b   ,?a  country  ?b,0.024790321,0.279381012,0.466806429,668,2391,1431,?a,0.6301169590643275,0.6666666666666666,0.6461769115442278,0.3538230884557721,431,236,684,354
?b  division  ?a   ,?a  owningCompany  ?b,0.029787234,0.059490085,0.466666667,42,706,90,?a,0.5333333333333333,0.0,1.0,0.0,40,0,75,0
?e  company  ?a  ?e  developer  ?b   ,?a  foundedBy  ?b,0.010835913,0.030701754,0.466666667,7,228,15,?b,0.38461538461538464,0.0,1.0,0.0,5,0,13,0
?b  knownFor  ?f  ?a  previousWork  ?f   ,?a  author  ?b,0.010144928,0.114754098,0.466666667,7,61,15,?b,0.5833333333333334,0.0,1.0,0.0,7,0,12,0
?e  related  ?a  ?e  subsequentWork  ?b   ,?a  related  ?b,0.024665257,0.239726027,0.466666667,35,146,75,?b,0.23684210526315788,0.0,1.0,0.0,18,0,76,0
?e  owningCompany  ?b  ?e  successor  ?a   ,?a  owner  ?b,0.011705686,0.137254902,0.466666667,14,102,30,?a,0.7368421052631579,0.0,1.0,0.0,14,0,19,0
?e  owner  ?b  ?e  successor  ?a   ,?a  owner  ?b,0.011705686,0.186666667,0.466666667,14,75,30,?a,0.7368421052631579,0.0,1.0,0.0,14,0,19,0
?f  followingEvent  ?a  ?b  followingEvent  ?f   ,?a  previousEvent  ?b,0.27184466,0.466666667,0.466666667,28,60,60,?a,0.9090909090909091,0.0,1.0,0.0,10,0,11,0
?f  followingEvent  ?b  ?a  followingEvent  ?f   ,?a  previousEvent  ?b,0.27184466,0.466666667,0.466666667,28,60,60,?a,1.0,0.0,1.0,0.0,11,0,11,0
?a  mouthCountry  ?b   ,?a  sourceCountry  ?b,0.225165563,0.395348837,0.465753425,34,86,73,?a,0.4714285714285714,0.0,1.0,0.0,33,0,70,0
?e  relative  ?a  ?e  residence  ?b   ,?a  residence  ?b,0.015840917,0.192622951,0.465346535,47,244,101,?a,0.6,0.5789473684210527,0.5769230769230769,0.4230769230769231,15,11,25,19
?a  location  ?f  ?f  regionalLanguage  ?b   ,?a  language  ?b,0.010808271,0.075657895,0.464646465,46,608,99,?a,0.7666666666666667,0.0,1.0,0.0,46,0,60,0
?b  child  ?f  ?f  parent  ?a   ,?a  spouse  ?b,0.046045504,0.220779221,0.464480874,85,385,183,?b,0.8604651162790697,0.7301587301587301,0.4457831325301205,0.5542168674698795,37,46,43,63
?a  executiveProducer  ?b   ,?a  presenter  ?b,0.040880503,0.006944444,0.464285714,13,1872,28,?b,0.26666666666666666,0.0,1.0,0.0,12,0,45,0
?f  associatedMusicalArtist  ?b  ?a  showJudge  ?f   ,?a  showJudge  ?b,0.054393305,0.060465116,0.464285714,13,215,28,?b,0.2222222222222222,0.0,1.0,0.0,6,0,27,0
?f  associatedBand  ?b  ?a  showJudge  ?f   ,?a  showJudge  ?b,0.054393305,0.060465116,0.464285714,13,215,28,?b,0.2222222222222222,0.0,1.0,0.0,6,0,27,0
?b  primeMinister  ?a  ?b  successor  ?a   ,?a  deputy  ?b,0.060747664,0.069333333,0.464285714,26,375,56,?b,0.23333333333333334,0.38636363636363635,0.2916666666666667,0.7083333333333334,7,17,30,44
?e  child  ?a  ?e  monarch  ?b   ,?a  monarch  ?b,0.012048193,0.30952381,0.464285714,13,42,28,?a,0.6,0.8,0.6,0.4,6,4,10,5
?f  bandMember  ?b  ?a  producer  ?f   ,?a  writer  ?b,0.062228323,0.335802469,0.464163823,272,810,586,?b,0.6964285714285714,0.0,1.0,0.0,117,0,168,0
?f  order  ?b  ?a  order  ?f   ,?a  order  ?b,0.086050038,0.462793068,0.462793068,454,981,981,?a,0.5953488372093023,0.0,1.0,0.0,384,0,645,0
?e  family  ?a  ?e  family  ?b   ,?a  family  ?b,0.11699557,0.24127907,0.462579618,581,2408,1256,?a,0.8936170212765957,0.0,1.0,0.0,420,0,470,0
?a  director  ?b  ?a  producer  ?b   ,?a  author  ?b,0.034782609,0.093023256,0.461538462,24,258,52,?b,0.6470588235294118,0.0,1.0,0.0,22,0,34,0
?e  headquarter  ?a  ?e  president  ?b   ,?a  leader  ?b,0.013483146,0.105263158,0.461538462,6,57,13,?a,0.5,0.5714285714285714,0.3333333333333333,0.6666666666666666,2,4,4,7
?f  associate  ?b  ?a  deputy  ?f   ,?a  associate  ?b,0.040909091,0.461538462,0.461538462,18,39,39,?b,1.0,0.0,1.0,0.0,2,0,2,0
?b  child  ?f  ?f  spouse  ?a   ,?a  relative  ?b,0.023552502,0.155844156,0.461538462,24,154,52,?b,0.7692307692307693,0.6,0.625,0.375,10,6,13,10
?f  city  ?b  ?a  routeStart  ?f   ,?a  routeStart  ?b,0.060606061,0.134831461,0.461538462,12,89,26,?b,0.631578947368421,0.0,1.0,0.0,12,0,19,0
?e  company  ?b  ?e  previousWork  ?a   ,?a  distributor  ?b,0.04975993,0.329479769,0.461538462,114,346,247,?a,0.5885416666666666,0.0,1.0,0.0,113,0,192,0
?f  president  ?a  ?b  spouse  ?f   ,?a  vicePresident  ?b,0.040816327,0.073170732,0.461538462,6,82,13,?b,0.3076923076923077,0.25,0.6666666666666666,0.3333333333333333,4,2,13,8
?e  president  ?a  ?e  spouse  ?b   ,?a  vicePresident  ?b,0.040816327,0.069767442,0.461538462,6,86,13,?b,0.3076923076923077,0.25,0.6666666666666666,0.3333333333333333,4,2,13,8
?f  country  ?b  ?a  mouthRegion  ?f   ,?a  sourceCountry  ?b,0.039735099,0.081081081,0.461538462,6,74,13,?a,0.46153846153846156,0.0,1.0,0.0,6,0,13,0
?a  mouthPlace  ?f  ?f  sourceCountry  ?b   ,?a  sourceCountry  ?b,0.039735099,0.315789474,0.461538462,6,19,13,?a,0.6,0.0,1.0,0.0,6,0,10,0
?a  mouthMountain  ?f  ?f  sourceCountry  ?b   ,?a  sourceCountry  ?b,0.039735099,0.315789474,0.461538462,6,19,13,?a,0.6,0.0,1.0,0.0,6,0,10,0
?e  executiveProducer  ?b  ?e  related  ?a   ,?a  executiveProducer  ?b,0.084935897,0.313609467,0.460869565,159,507,345,?a,0.725609756097561,0.0,1.0,0.0,119,0,164,0
?a  birthPlace  ?b  ?a  deathPlace  ?b   ,?a  stateOfOrigin  ?b,0.067763795,0.020945542,0.460526316,70,3342,152,?a,0.6947368421052632,0.14285714285714285,0.9428571428571428,0.05714285714285714,66,4,95,28
?f  instrument  ?b  ?a  musicSubgenre  ?f   ,?a  instrument  ?b,0.020034415,0.361419069,0.460451977,326,902,708,?a,0.9615384615384616,0.0,1.0,0.0,75,0,78,0
?b  isPartOf  ?f  ?f  neighboringMunicipality  ?a   ,?a  district  ?b,0.027348395,0.353846154,0.46,23,65,50,?a,0.92,0.0,1.0,0.0,23,0,25,0
?b  isPartOf  ?f  ?a  neighboringMunicipality  ?f   ,?a  district  ?b,0.027348395,0.359375,0.46,23,64,50,?a,0.92,0.0,1.0,0.0,23,0,25,0
?e  party  ?b  ?e  predecessor  ?a   ,?a  party  ?b,0.348075544,0.410603497,0.459450931,1456,3546,3169,?a,0.6925098554533509,0.7155172413793104,0.3883566691230656,0.6116433308769345,527,830,761,1160
?e  bandMember  ?a  ?e  recordLabel  ?b   ,?a  recordLabel  ?b,0.067323431,0.270194647,0.459358842,2221,8220,4835,?a,0.8275862068965517,0.8139223560910308,0.01935483870967742,0.9806451612903225,24,1216,29,1494
?f  industry  ?b  ?a  successor  ?f   ,?a  industry  ?b,0.028756957,0.322916667,0.459259259,62,192,135,?a,0.6292134831460674,0.0,1.0,0.0,56,0,89,0
?a  followingEvent  ?f  ?b  followingEvent  ?f   ,?a  previousEvent  ?b,0.27184466,0.444444444,0.459016393,28,63,61,?a,1.0,0.0,1.0,0.0,11,0,11,0
?b  subsidiary  ?a   ,?a  owner  ?b,0.056020067,0.154734411,0.45890411,67,433,146,?a,0.5,0.0,1.0,0.0,67,0,134,0
?e  previousWork  ?a  ?e  recordedIn  ?b   ,?a  recordedIn  ?b,0.052243804,0.254071661,0.458823529,78,307,170,?a,0.64,0.0,1.0,0.0,48,0,75,0
?a  predecessor  ?b  ?b  primeMinister  ?a   ,?a  successor  ?b,0.01701838,0.411522634,0.458715596,100,243,218,?a,0.46153846153846156,0.5652173913043478,0.4090909090909091,0.5909090909090909,36,52,78,92
?e  child  ?a  ?e  relation  ?b   ,?a  relation  ?b,0.086956522,0.458333333,0.458333333,22,48,48,?b,1.0,0.8571428571428571,0.45454545454545453,0.5454545454545454,5,6,5,7
?e  channel  ?b  ?e  related  ?a   ,?a  network  ?b,0.024451098,0.228971963,0.457943925,49,214,107,?a,0.5443037974683544,0.0,1.0,0.0,43,0,79,0
?f  capital  ?b  ?a  headquarter  ?f   ,?a  headquarter  ?b,0.12705314,0.457391304,0.457391304,263,575,575,?a,0.5010060362173038,0.0,1.0,0.0,249,0,497,0
?b  formerBandMember  ?a   ,?a  formerBandMember  ?b,0.012810248,0.012810248,0.457142857,64,4996,140,?b,0.6551724137931034,0.75,0.296875,0.703125,19,45,29,60
?e  locationCity  ?b  ?e  successor  ?a   ,?a  locationCity  ?b,0.0111034,0.202531646,0.457142857,16,79,35,?a,0.4782608695652174,0.0,1.0,0.0,11,0,23,0
?e  parent  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.066088841,0.178623719,0.456928839,122,683,267,?b,0.8888888888888888,0.8181818181818182,0.4,0.6,48,72,54,88
?f  child  ?b  ?a  child  ?f   ,?a  relative  ?b,0.02060844,0.230769231,0.456521739,21,91,46,?b,0.7272727272727273,0.6666666666666666,0.5714285714285714,0.42857142857142855,8,6,11,9
?b  primeMinister  ?a  ?a  primeMinister  ?b   ,?a  predecessor  ?b,0.016747377,0.391509434,0.456043956,83,212,182,?b,0.6170212765957447,0.7333333333333333,0.3972602739726027,0.6027397260273972,29,44,47,60
?b  leaderName  ?a   ,?a  residence  ?b,0.010448264,0.021364576,0.455882353,31,1451,68,?a,0.59375,0.6666666666666666,0.6129032258064516,0.3870967741935484,19,12,32,18
?b  previousWork  ?f  ?f  related  ?a   ,?a  related  ?b,0.043692741,0.303921569,0.455882353,62,204,136,?b,0.3111111111111111,0.0,1.0,0.0,28,0,90,0
?e  series  ?a  ?e  writer  ?b   ,?a  creator  ?b,0.021617852,0.37804878,0.455882353,31,82,68,?a,0.8,0.0,1.0,0.0,24,0,30,0
?f  formerBandMember  ?b  ?a  formerBandMember  ?f   ,?a  formerBandMember  ?b,0.012409928,0.455882353,0.455882353,62,136,136,?b,0.782608695652174,0.7368421052631579,0.3,0.7,18,42,23,57
?a  developer  ?b   ,?a  publisher  ?b,0.193548387,0.082949309,0.455696203,36,434,79,?a,0.7,0.0,1.0,0.0,28,0,40,0
?e  broadcastNetwork  ?a  ?e  owningCompany  ?b   ,?a  owningCompany  ?b,0.029078014,0.278911565,0.455555556,41,147,90,?a,0.6730769230769231,0.0,1.0,0.0,35,0,52,0
?f  distributor  ?b  ?a  subsequentWork  ?f   ,?a  company  ?b,0.046608406,0.356687898,0.455284553,112,314,246,?a,0.5833333333333334,0.0,1.0,0.0,112,0,192,0
?e  party  ?b  ?e  successor  ?a   ,?a  party  ?b,0.392541238,0.413706223,0.45522595,1642,3969,3607,?a,0.7118012422360248,0.7152567975830816,0.3769736842105263,0.6230263157894737,573,947,805,1324
?e  album  ?a  ?e  musicalBand  ?b   ,?a  artist  ?b,0.297931034,0.420233463,0.454736842,216,514,475,?a,0.9766355140186916,0.0,1.0,0.0,209,0,214,0
?e  album  ?a  ?e  musicalArtist  ?b   ,?a  artist  ?b,0.297931034,0.420233463,0.454736842,216,514,475,?a,0.9766355140186916,0.0,1.0,0.0,209,0,214,0
?b  inflow  ?a   ,?a  mouthMountain  ?b,0.038314176,0.158730159,0.454545455,10,63,22,?a,0.47619047619047616,0.0,1.0,0.0,10,0,21,0
?a  largestCity  ?b   ,?a  capital  ?b,0.079051383,0.038709677,0.454545455,60,1550,132,?a,0.3684210526315789,0.5636363636363636,0.4745762711864407,0.5254237288135594,28,31,76,55
?b  inflow  ?a   ,?a  mouthPlace  ?b,0.038314176,0.158730159,0.454545455,10,63,22,?a,0.47619047619047616,0.0,1.0,0.0,10,0,21,0
?b  writer  ?a   ,?a  notableWork  ?b,0.029761905,0.001143903,0.454545455,5,4371,11,?b,0.3076923076923077,0.1,0.8,0.2,4,1,13,10
?a  editing  ?b  ?a  writer  ?b   ,?a  cinematography  ?b,0.014124294,0.3125,0.454545455,5,16,11,?a,0.45454545454545453,0.0,1.0,0.0,5,0,11,0
?f  division  ?a  ?b  subsidiary  ?f   ,?a  owningCompany  ?b,0.010638298,0.3,0.454545455,15,50,33,?a,0.5,0.0,1.0,0.0,13,0,26,0
?e  owner  ?b  ?e  subsidiary  ?a   ,?a  owningCompany  ?b,0.021276596,0.20979021,0.454545455,30,143,66,?a,0.6041666666666666,0.0,1.0,0.0,29,0,48,0
?e  owningCompany  ?b  ?e  subsidiary  ?a   ,?a  owningCompany  ?b,0.021276596,0.20979021,0.454545455,30,143,66,?a,0.6041666666666666,0.0,1.0,0.0,29,0,48,0
?b  deputy  ?a  ?b  predecessor  ?a   ,?a  deputy  ?b,0.011682243,0.166666667,0.454545455,5,30,11,?b,0.0,0.45454545454545453,0.0,1.0,0,5,2,11
?b  predecessor  ?a  ?a  primeMinister  ?b   ,?a  deputy  ?b,0.035046729,0.061728395,0.454545455,15,243,33,?b,0.3684210526315789,0.25,0.4666666666666667,0.5333333333333333,7,8,19,32
?e  bodyStyle  ?b  ?e  relatedMeanOfTransportation  ?a   ,?a  bodyStyle  ?b,0.096153846,0.352941176,0.454545455,30,85,66,?a,0.7272727272727273,0.0,1.0,0.0,24,0,33,0
?f  capital  ?b  ?a  twinCountry  ?f   ,?a  twinTown  ?b,0.025510204,0.033112583,0.454545455,5,151,11,?b,0.09090909090909091,0.08695652173913043,0.5,0.5,2,2,22,23
?f  creator  ?b  ?a  series  ?f   ,?a  creator  ?b,0.010460251,0.030120482,0.454545455,15,498,33,?a,0.5714285714285714,0.0,1.0,0.0,12,0,21,0
?f  militaryUnit  ?b  ?a  notableCommander  ?f   ,?a  commandStructure  ?b,0.031446541,0.142857143,0.454545455,5,35,11,?a,0.7142857142857143,0.0,1.0,0.0,5,0,7,0
?f  isPartOf  ?b  ?a  mouthPlace  ?f   ,?a  state  ?b,0.015181333,0.315789474,0.453781513,54,171,119,?a,0.8852459016393442,0.0,1.0,0.0,54,0,61,0
?f  isPartOf  ?b  ?a  mouthMountain  ?f   ,?a  state  ?b,0.015181333,0.315789474,0.453781513,54,171,119,?a,0.8852459016393442,0.0,1.0,0.0,54,0,61,0
?f  party  ?b  ?a  successor  ?f   ,?a  party  ?b,0.392541238,0.408661025,0.45359116,1642,4018,3620,?a,0.6998827667057445,0.7284820031298904,0.39070680628272253,0.6092931937172775,597,931,853,1278
?f  isPartOf  ?a  ?b  part  ?f   ,?a  part  ?b,0.080649678,0.270931326,0.453543307,288,1063,635,?b,0.043731778425655975,0.014084507042253521,0.8823529411764706,0.11764705882352941,15,2,343,142
?a  previousWork  ?f  ?f  writer  ?b   ,?a  writer  ?b,0.08785175,0.453364817,0.453364817,384,847,847,?b,0.5525525525525525,0.0,1.0,0.0,184,0,333,0
?a  primeMinister  ?f  ?f  religion  ?b   ,?a  religion  ?b,0.091109017,0.194369973,0.453125,290,1492,640,?a,0.5771428571428572,0.6071428571428571,0.3506944444444444,0.6493055555555556,101,187,175,308
?f  relative  ?a  ?b  spouse  ?f   ,?a  child  ?b,0.037974684,0.109589041,0.452830189,24,219,53,?b,0.8666666666666667,0.42105263157894735,0.6190476190476191,0.38095238095238093,13,8,15,19
?e  ethnicGroup  ?a  ?e  officialLanguage  ?b   ,?a  language  ?b,0.016917293,0.373056995,0.452830189,72,193,159,?a,0.6774193548387096,0.0,1.0,0.0,63,0,93,0
?a  creator  ?b   ,?a  presenter  ?b,0.059748428,0.013249651,0.452380952,19,1434,42,?b,0.3617021276595745,0.0,1.0,0.0,17,0,47,0
?a  subregion  ?f  ?b  subregion  ?f   ,?a  subregion  ?b,0.168141593,0.2,0.452380952,19,95,42,?b,0.2727272727272727,0.0,1.0,0.0,9,0,33,0
?a  country  ?b   ,?a  sourceCountry  ?b,0.556291391,0.003117346,0.451612903,84,26946,186,?a,0.9764705882352941,0.0,1.0,0.0,83,0,85,0
?f  bodyStyle  ?b  ?a  relatedMeanOfTransportation  ?f   ,?a  bodyStyle  ?b,0.08974359,0.378378378,0.451612903,28,74,62,?a,0.71875,0.0,1.0,0.0,23,0,32,0
?b  parent  ?f  ?f  relative  ?a   ,?a  relative  ?b,0.031403337,0.323232323,0.450704225,32,99,71,?b,0.6875,0.6190476190476191,0.4583333333333333,0.5416666666666666,11,13,16,21
?a  almaMater  ?f  ?f  country  ?b   ,?a  stateOfOrigin  ?b,0.030977735,0.014184397,0.450704225,32,2256,71,?a,0.7435897435897436,0.125,0.90625,0.09375,29,3,39,24
?f  recordedIn  ?b  ?a  subsequentWork  ?f   ,?a  recordedIn  ?b,0.051574012,0.26369863,0.450292398,77,292,171,?a,0.6052631578947368,0.0,1.0,0.0,46,0,76,0
?a  routeEnd  ?b   ,?a  city  ?b,0.010468159,0.1875,0.45,36,192,80,?a,0.6181818181818182,0.0,1.0,0.0,34,0,55,0
?f  foundationPlace  ?b  ?a  subsidiary  ?f   ,?a  foundationPlace  ?b,0.01212938,0.113924051,0.45,9,79,20,?a,0.6666666666666666,0.0,1.0,0.0,6,0,9,0
?b  primeMinister  ?a  ?a  primeMinister  ?b   ,?a  deputy  ?b,0.042056075,0.08490566,0.45,18,212,40,?b,0.3181818181818182,0.2857142857142857,0.4117647058823529,0.5882352941176471,7,10,22,35
?a  notableWork  ?f  ?b  related  ?f   ,?a  notableWork  ?b,0.053571429,0.2,0.45,9,45,20,?b,0.2,0.2727272727272727,0.4,0.6,2,3,10,11
?a  almaMater  ?f  ?f  country  ?b   ,?a  nationality  ?b,0.07878186,0.105496454,0.449905482,238,2256,529,?a,0.7180327868852459,0.1125,0.9240506329113924,0.0759493670886076,219,18,305,160
?e  primeMinister  ?a  ?e  religion  ?b   ,?a  religion  ?b,0.064718819,0.284530387,0.449781659,206,724,458,?a,0.75,0.7564102564102564,0.424390243902439,0.5756097560975609,87,118,116,156
?b  product  ?f  ?a  sisterStation  ?f   ,?a  owningCompany  ?b,0.021985816,0.397435897,0.449275362,31,78,69,?a,0.6739130434782609,0.0,1.0,0.0,31,0,46,0
