Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?e  mother  ?b  ?e  name  ?a   ,?a  mother  ?b,0.102941176,0.13125,0.954545455,42,320,44,?a,0.975,0.75,0.9285714285714286,0.07142857142857142,39,3,40,4
?f  gender  ?b  ?a  successor  ?f   ,?a  gender  ?b,0.097533632,0.435,0.820754717,87,200,106,?a,0.7391304347826086,0.8983050847457628,0.39080459770114945,0.6091954022988506,34,53,46,59
?a  parent  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.549019608,0.320916905,0.428298279,224,698,523,?a,0.7077625570776256,0.6448598130841121,0.6919642857142857,0.3080357142857143,155,69,219,107
?f  gender  ?b  ?a  mother  ?f   ,?a  gender  ?b,0.118834081,0.308139535,0.407692308,106,344,260,?a,0.5795454545454546,0.047619047619047616,0.9622641509433962,0.03773584905660377,102,4,176,84
?e  child  ?a  ?e  spouse  ?b   ,?a  mother  ?b,0.274509804,0.083519761,0.373333333,112,1341,300,?a,0.46153846153846156,0.6987951807228916,0.48214285714285715,0.5178571428571429,54,58,117,83
?f  gender  ?b  ?a  name  ?f   ,?a  gender  ?b,0.088565022,0.975308642,1.0,79,81,79,?a,1.0,1.0,0.8860759493670886,0.11392405063291139,70,9,70,9
?e  gender  ?b  ?e  successor  ?a   ,?a  gender  ?b,0.098654709,0.442211055,0.838095238,88,199,105,?a,0.7692307692307693,0.9795918367346939,0.45454545454545453,0.5454545454545454,40,48,52,49
?a  predecessor  ?b  ?b  successor  ?a   ,?a  parent  ?b,0.095137421,0.335820896,0.555555556,90,268,162,?b,0.6060606060606061,0.5217391304347826,0.45454545454545453,0.5454545454545454,40,48,66,92
?a  father  ?b  ?b  successor  ?a   ,?a  parent  ?b,0.085623679,0.794117647,0.952941176,81,102,85,?b,0.9210526315789473,0.7931034482758621,0.43209876543209874,0.5679012345679012,35,46,38,58
?b  child  ?a  ?b  successor  ?a   ,?a  parent  ?b,0.069767442,0.519685039,0.647058824,66,127,102,?b,0.9259259259259259,0.7735849056603774,0.3787878787878788,0.6212121212121212,25,41,27,53
?b  child  ?a  ?a  predecessor  ?b   ,?a  parent  ?b,0.077167019,0.57480315,0.682242991,73,127,107,?b,0.9375,0.8269230769230769,0.410958904109589,0.589041095890411,30,43,32,52
?a  father  ?b  ?a  predecessor  ?b   ,?a  parent  ?b,0.087737844,0.783018868,0.954022989,83,106,87,?b,0.9069767441860465,0.7857142857142857,0.46987951807228917,0.5301204819277109,39,44,43,56
?a  father  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.226457399,0.438177874,0.577142857,202,461,350,?a,0.4725274725274725,0.948051948051948,0.6386138613861386,0.3613861386138614,129,73,273,77
?e  gender  ?b  ?e  name  ?a   ,?a  gender  ?b,0.088565022,0.191747573,1.0,79,412,79,?a,1.0,1.0,0.8860759493670886,0.11392405063291139,70,9,70,9
